timestamp(ms);ADC;ADC>ADC;
"1769551389.112";"178";;
"1769551389.114";"177";;
"1769551389.116";"176";;
"1769551389.118";"176";;
"1769551389.12";"181";;
"1769551389.122";"175";;
"1769551389.124";"178";;
"1769551389.126";"179";;
"1769551389.128";"177";;
"1769551389.13";"179";;
"1769551389.132";"179";;
"1769551389.134";"177";;
"1769551389.136";"177";;
"1769551389.138";"178";;
"1769551389.14";"184";;
"1769551389.142";"178";;
"1769551389.144";"179";;
"1769551389.146";"184";;
"1769551389.148";"178";;
"1769551389.15";"176";;
"1769551389.152";"177";;
"1769551389.154";"177";;
"1769551389.156";"176";;
"1769551389.158";"169";;
"1769551389.16";"178";;
"1769551389.162";"176";;
"1769551389.164";"180";;
"1769551389.166";"176";;
"1769551389.168";"180";;
"1769551389.17";"177";;
"1769551389.172";"179";;
"1769551389.174";"179";;
"1769551389.176";"179";;
"1769551389.178";"172";;
"1769551389.18";"177";;
"1769551389.182";"185";;
"1769551389.184";"179";;
"1769551389.186";"176";;
"1769551389.188";"180";;
"1769551389.19";"176";;
"1769551389.192";"179";;
"1769551389.194";"174";;
"1769551389.196";"181";;
"1769551389.198";"176";;
"1769551389.2";"180";;
"1769551389.202";"179";;
"1769551389.204";"178";;
"1769551389.206";"173";;
"1769551389.208";"177";;
"1769551389.21";"179";;
"1769551389.212";"182";;
"1769551389.214";"179";;
"1769551389.216";"178";;
"1769551389.218";"179";;
"1769551389.22";"176";;
"1769551389.222";"178";;
"1769551389.224";"178";;
"1769551389.226";"174";;
"1769551389.228";"177";;
